StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
104,0,196107,4.62,78,2.21,2.21,-0.77,1.83,412,0,-0.88,0.03,0.05,1.1,0.06,0.37,0.98,67,88.9
101,0,196107,4.13,68.5,1.5,1.5,0.57,1.5,211,7,0.19,0.18,0.16,0.83,-0.15,-0.29,0.57,57.8,79.2
108,0,196107,0.5,66.8,-1.04,-1.04,-1.39,-1.04,103,51,-0.27,-1.08,-0.38,1.36,0.54,0.44,0.31,50.9,82.8
103,0,196107,5.58,74,2.66,2.66,2.88,2.66,262,4,1.4,0.86,1,1.45,0.31,-0.08,-0.33,63.1,84.8
109,0,196107,0.32,75.7,-2.55,-2.55,-1.25,-2.55,287,1,0.14,-0.24,-0.18,-0.73,-0.66,-0.9,-1.34,59.8,91.5
102,0,196107,4.16,68.7,-0.45,-0.45,1.3,-0.45,169,23,0.67,-0.52,-0.93,-0.44,-1.02,-0.75,0.45,57.1,80.4
107,0,196107,1.74,73.3,-2.74,-2.74,-1.08,-2.74,360,16,-0.23,-0.43,-0.81,-0.74,-0.95,-0.89,-0.53,58.5,88.1
105,0,196107,1.82,69,-4.25,-4.25,-2.28,-4.25,212,37,-0.17,-1.46,-0.96,-1.04,-1.36,-1.43,-1.32,54.1,83.8
106,0,196107,4.76,78.9,3.34,3.34,3.83,3.34,461,0,1.53,1.84,1.3,1.15,0.94,1.25,0.89,67.7,90.3
108,0,196108,0.86,68.1,-1.23,-1.23,-0.89,-1.23,127,37,0.37,-0.01,-0.79,0.26,0.03,0.3,0.33,52.7,83.6
106,0,196108,2.71,78.1,3.61,3.61,1.85,3.61,442,1,-0.13,0.91,1.53,0.77,1.17,0.9,0.87,66.2,90
105,0,196108,1.13,70.5,-4.99,-4.99,-3.55,-4.99,218,26,-1.16,-0.91,-1.81,-1.35,-1.68,-1.93,-1.37,55,85.9
101,0,196108,3.53,67.4,-0.11,1.24,-0.32,0.99,180,14,-0.21,-0.16,-0.07,0.45,0.02,-0.11,0.45,56.8,78
102,0,196108,2.63,68.9,-1.11,-1.11,-2.11,-1.11,162,29,-0.86,-0.15,-0.94,-0.81,-1.2,-1.28,-0.09,56.6,81.1
109,0,196108,0.92,73.8,-1.89,-1.89,1.2,-1.31,267,1,1.61,1.33,0.77,-0.03,-1.13,-0.64,-1.26,59.6,87.9
