StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      108,      00,   196509,    .71,   52.2,   -.24,   1.32,   -.73,    .32,      5,    276,   -.92,    .72,    .71,    .38,   -.37,    .88,    .74,   39.1,   65.3,
      101,      00,   196509,   3.46,   60.7,     -5,     -5,  -1.27,     -5,     58,     88,   -.06,    .09,   -.72,  -2.14,  -2.24,  -2.45,  -3.09,   50.1,   71.3,
      106,      00,   196509,    4.6,   74.1,  -1.22,  -1.22,   1.77,   -.33,    358,      8,   1.22,    .94,    .16,   -.11,    .02,   -.25,    -.7,   62.6,   85.6,
      103,      00,   196509,   5.98,   67.7,   1.54,   1.54,   3.69,   1.54,    111,     61,   1.87,   1.63,   1.45,    .47,    .65,     .1,   -.62,   57.1,   78.2,
      104,      00,   196509,   3.98,   73.9,   -.28,   1.41,   -.39,    .56,    291,      7,   -.16,   -.59,   -.12,   -.38,   -.08,    .52,   1.19,   63.9,   83.9,
      109,      00,   196509,    .28,   61.2,   2.84,   2.84,    -.1,   2.74,     63,     80,   -.32,    .99,   1.11,    1.5,   -.27,    .68,   -.23,   46.6,   75.8,
      107,      00,   196509,   1.93,   60.1,    4.4,    4.4,   2.73,    4.4,    139,    212,     .9,     .7,   1.04,   1.81,   1.43,    .94,   -.06,   46.8,   73.5,
      102,      00,   196509,   7.19,   54.3,   3.68,   3.68,   7.05,   3.68,     21,    234,   2.69,   2.24,   1.71,   1.71,   2.09,   1.18,    .54,   45.1,   63.3,
      105,      00,   196509,    3.2,   46.8,   5.64,   5.64,   6.28,   5.64,      7,    458,   2.06,   1.77,   1.75,   1.97,   1.86,   1.61,   1.12,   36.3,   57.3,
      106,      00,   196510,   1.56,   62.6,  -1.51,  -1.51,  -1.24,  -1.14,     84,    103,    -.8,    .22,    .15,   -.03,   -.21,   -.18,   -.58,   49.1,   76.1,
      108,      00,   196510,   1.27,   49.8,   -.98,   -.98,  -2.29,   -.98,      0,    373,  -1.08,  -1.41,    -.4,   -.66,   -1.5,    .88,    .53,   36.1,   63.5,
      109,      00,   196510,    .17,   59.4,   1.76,   1.76,  -2.38,    .64,     67,     91,  -1.43,  -1.48,   -.41,   -.43,   -.62,    .53,   -.46,   42.9,   75.9,
      101,      00,   196510,   3.44,   46.7,  -4.73,  -4.73,   -.74,  -4.73,      0,    462,     .1,   -.11,    .01,  -1.73,  -2.01,  -2.15,  -2.19,   36.3,     57,
      103,      00,   196510,   2.15,     54,    .03,   1.41,    .09,   1.38,      7,    373,   -.54,    .91,    .97,   -.03,    .28,    .36,   -.42,   41.7,   66.4,
      105,      00,   196510,    .46,   49.2,   4.52,   4.52,   -1.6,   3.88,      4,    448,  -1.69,    .89,    .91,   1.62,   1.34,   1.71,   1.08,   34.3,   64.1,
      104,      00,   196510,   3.21,   61.9,   -.09,   1.43,    .49,    .73,    105,    154,    .13,   -.14,   -.46,   -.15,    .21,    .06,   1.47,     50,   73.9,
      107,      00,   196510,    .66,   54.9,    3.5,    3.5,  -1.35,   2.92,     81,    283,   -.65,    .17,     .1,    1.2,   1.12,   1.14,   -.09,   38.3,   71.6,
      102,      00,   196510,   1.57,   48.3,   3.28,   3.28,   -.06,    3.2,      1,    499,    -.8,   1.83,   1.63,    1.2,   1.64,   1.53,    .68,   37.5,   59.2,
      105,      00,   196511,    .67,   32.6,   4.14,   4.14,    .24,   3.53,      0,    909,   -.66,  -1.79,    .54,   1.18,   1.22,   1.58,    1.1,   21.2,   43.9,
      109,      00,   196511,   4.49,   47.1,   2.85,   2.85,   3.82,   2.85,      1,    362,    1.9,   1.24,   1.12,   1.52,   1.09,     .9,   -.24,   37.5,   56.7,
      103,      00,   196511,   1.55,   45.9,   -.52,    .75,  -1.55,    -.2,      0,    625,  -1.32,   -1.4,    .05,   -.01,   -.16,    .05,   -.54,   34.8,     57,
      106,      00,   196511,   1.36,   57.4,  -2.26,  -2.26,  -2.72,  -2.26,     65,    191,    -.9,  -1.24,   -.28,   -.49,   -.71,   -.56,   -.76,   45.5,   69.4,
      104,      00,   196511,   1.68,   55.6,   -.62,    .74,  -1.63,   -.45,     54,    287,   -.95,    -.5,   -.56,    .13,   -.25,   -.08,   1.15,   43.8,   67.4,
      101,      00,   196511,   3.13,     36,  -4.72,  -4.72,  -1.43,  -4.72,      0,    741,   -.28,   -.15,    -.3,   -1.2,  -2.22,  -2.09,  -2.68,   27.6,   44.3,
      108,      00,   196511,   4.29,     39,  -1.21,  -1.21,   -.99,  -1.21,      0,    621,    .02,   -.63,   -.87,   -.35,     -1,    .71,     .3,   31.4,   46.5,
      102,      00,   196511,   2.21,   32.7,   3.75,   3.75,    2.4,   3.75,      0,    878,    .57,   -.27,   1.72,   1.08,   1.68,   1.69,    .79,   23.9,   41.5,
      107,      00,   196511,   1.31,   45.2,   3.26,   3.26,    .36,   2.77,     13,    516,    .95,    .07,    .54,   1.26,   1.32,   1.26,    .02,   32.3,   58.1,
      104,      00,   196512,   1.86,   47.2,  -1.32,  -1.32,  -2.28,  -1.32,     25,    507,  -1.57,  -1.78,  -1.28,  -1.12,  -1.05,   -.63,   1.17,   34.8,   59.5,
      109,      00,   196512,      3,   36.1,   3.17,   3.17,   1.85,   3.17,      0,    638,    .42,   1.39,    .98,   1.19,   1.54,    .28,    .14,   26.9,   45.4,
      105,      00,   196512,     .7,   25.3,    3.9,    3.9,    .56,   3.45,      0,   1160,   -.42,    -.8,  -1.83,    .69,   1.33,   1.17,   1.09,   15.1,   35.5,
      106,      00,   196512,    2.6,   47.4,   -2.5,   -2.5,  -1.43,   -2.5,     10,    452,    .24,   -.55,    -.9,   -.58,   -.61,   -.44,   -.55,   36.4,   58.5,
      101,      00,   196512,    1.7,   28.9,  -5.09,  -5.09,  -2.57,  -5.09,      0,    979,  -1.61,  -1.21,   -.91,  -1.16,  -2.37,  -2.62,  -3.09,   21.3,   36.6,
      103,      00,   196512,    1.8,   38.7,  -1.01,  -1.01,  -1.63,  -1.01,      0,    857,  -1.18,  -1.71,  -1.64,   -.28,   -.51,   -.24,   -.45,   29.5,   47.9,
      102,      00,   196512,   2.09,   26.5,   4.18,   4.18,   2.47,   4.18,      0,   1105,   1.59,   1.19,    .34,   1.57,   1.71,   2.04,   1.07,   19.3,   33.6,
      107,      00,   196512,    2.5,   34.5,    4.3,    4.3,   4.13,    4.3,      0,    843,   2.27,   2.12,   1.35,   1.52,   1.98,   1.69,    .57,   23.4,   45.7,
      108,      00,   196512,   3.66,   29.1,  -1.65,  -1.65,  -1.67,  -1.65,      0,    923,   -.54,   -.36,   -.78,   -.53,   -.41,   -.73,    .37,   21.8,   36.4,
      101,      00,   196601,   3.28,   20.3,  -4.44,  -4.44,    .38,  -4.24,      0,   1238,    .31,   -.95,   -.93,   -.65,  -2.02,   -2.4,  -3.05,     12,   28.6,
      107,      00,   196601,    .58,   28.6,   3.81,   3.81,   -.14,    3.7,      0,   1014,   -.66,   1.29,   1.43,   1.04,   1.72,   1.52,    .64,     16,   41.2,
      102,      00,   196601,    .97,    5.7,   3.79,   3.79,     .1,   3.77,      0,   1689,   -.19,    .93,    .87,   1.78,   1.42,   1.83,   1.08,   -4.1,   15.6,
      108,      00,   196601,   5.01,   29.3,  -1.26,  -1.26,    .65,   -.85,      0,    911,    .38,    -.1,   -.15,   -.33,   -.43,  -1.07,    .12,   22.6,   36.1,
