StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   195010,   1.58,   59.7,   3.93,   3.93,   -.84,   3.55,     31,    233,   -1.1,   -.41,    .08,    .59,    .72,   1.67,   2.38,   46.9,   72.6,
      109,      00,   195010,   2.28,   58.6,    .94,   -.64,   2.38,    .82,     45,    128,   1.61,   1.66,   1.24,    .75,   -.09,   -.31,    -.9,   44.4,   72.8,
      103,      00,   195011,   3.81,   37.6,   4.27,   4.27,   2.25,   4.27,      0,    859,    .56,   -.33,   -.05,    .76,    .44,   2.25,   1.92,   27.3,   47.9,
      101,      00,   195011,   6.21,     39,   1.25,   1.25,   3.74,   1.25,      0,    676,   1.97,    .93,    .53,    .33,   -.07,     .2,   -.53,   29.9,   48.2,
      107,      00,   195011,    .49,   43.3,  -3.52,  -3.52,  -1.71,  -3.52,     15,    572,   -.76,  -1.83,  -1.09,   -.99,  -1.73,  -1.67,   -.48,   27.8,   58.9,
      108,      00,   195011,   4.99,   36.9,   3.01,   3.01,    2.6,   3.01,      0,    716,    .39,   1.99,   1.78,    1.8,   1.52,    1.6,     .6,   29.7,   44.1,
      105,      00,   195011,    .98,   27.6,   2.42,   2.42,    .74,   2.31,      0,   1067,    .14,   -.35,    .43,    .17,    .14,    .31,   -.05,   16.3,   38.9,
      104,      00,   195011,   1.39,   50.1,   -.29,   1.15,   -.86,    .63,     25,    409,  -1.27,   -.35,    .02,    .05,   -.08,   -.92,   -.26,   36.7,   63.5,
      106,      00,   195011,    .87,   50.1,  -1.27,   1.84,  -1.84,    .19,     17,    367,   -1.5,  -2.08,  -1.26,    .19,    .05,    .42,   1.01,   35.3,   64.9,
      109,      00,   195011,   3.14,   49.4,   1.29,   1.29,   1.34,   1.29,      8,    275,   1.11,   1.65,    1.7,   1.43,     .7,    .12,   -.47,     38,   60.8,
      102,      00,   195011,   1.44,   27.5,  -1.32,  -1.32,   -1.1,  -1.32,      0,   1051,   -.38,   -.87,  -1.02,   -.94,   -.51,   -.07,   -.34,   18.4,   36.5,
      105,      00,   195012,    .66,   22.2,   2.15,   2.15,   -.06,   1.95,      0,   1320,   -.56,   -.27,   -.58,    .47,   -.16,     .2,    -.1,   12.1,   32.3,
      104,      00,   195012,   3.54,   41.9,   -.05,   1.23,    .61,    .97,     12,    654,   -.06,   -.87,   -.39,    .34,    -.2,   -.74,   -.35,   31.2,   52.5,
